2025_03_29__14:06:45.917920: CONFIG: VISUALIZE: True, CAMERA_MODE: image, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:06:54.275965: Iter 50, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.95470664466226, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:54.388380: Iter 51, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.143873678060435, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:54.501771: Iter 52, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.89683054823752, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:54.610996: Iter 53, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.819456067825406, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:54.722411: Iter 54, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.15624965890312, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:54.835162: Iter 55, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.975997260743023, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:54.946151: Iter 56, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.86966304490338, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.057458: Iter 57, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.010068462105247, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.168400: Iter 58, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.985015348824257, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.281116: Iter 59, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.014444848018535, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
