2025_03_29__15:59:23.855094: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__15:59:33.297886: Iter 49, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 8.556559623684734e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.330773526015934, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.397225: Iter 50, FPS: 9.7, STATE: {'status': 'as_driving', 'speed': 1.555079870740883e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.699696588470362, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.521374: Iter 51, FPS: 10.1, STATE: {'status': 'as_driving', 'speed': 2.72787128778873e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.067940470475277, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.625710: Iter 52, FPS: 8.1, STATE: {'status': 'as_driving', 'speed': 2.8662658223765902e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.055806521004271, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.740265: Iter 53, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 3.530832691467367e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.584789762340037, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.849832: Iter 54, FPS: 8.7, STATE: {'status': 'as_driving', 'speed': 2.8123469746788032e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.730366944405706, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.955655: Iter 55, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 1.23118661576882e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.127497149223979, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.058958: Iter 56, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 2.8793322144338163e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.44965281689189, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.169415: Iter 57, FPS: 9.7, STATE: {'status': 'as_driving', 'speed': 4.421551238920074e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.681918699937675, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.274451: Iter 58, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 4.954738415108295e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.053340470722315, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
