2025_03_29__14:19:37.687632: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:19:55.809913: Iter 55, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 4.928790092468262, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.314321118703463, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.10730123503889122, 'throttle': 0.0, 'brake': 0.0077858448028564455}
2025_03_29__14:19:55.925321: Iter 56, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.018001556396484, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.998972294871987, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.040665503279536885, 'throttle': 0.0, 'brake': 0.0018001556396484376}
2025_03_29__14:19:56.035445: Iter 57, FPS: 8.7, STATE: {'status': 'as_driving', 'speed': 5.995116710662842, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.666221747458072, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4663584565107608, 'throttle': 0.0, 'brake': 0.09951167106628418}
2025_03_29__14:19:56.147495: Iter 58, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 6.838089466094971, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.081351667933287, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4479392829671156, 'throttle': 0.0, 'brake': 0.1838089466094971}
2025_03_29__14:19:56.258988: Iter 59, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 7.409201145172119, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.925171457693626, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.24092011451721193}
2025_03_29__14:19:56.372002: Iter 60, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 7.275513172149658, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.969739481529322, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.22755131721496583}
2025_03_29__14:19:56.481909: Iter 61, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': 6.801025390625, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.848947971366425, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4626139864060461, 'throttle': 0.0, 'brake': 0.1801025390625}
2025_03_29__14:19:56.593334: Iter 62, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 6.275876045227051, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.098786482534807, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.1275876045227051}
2025_03_29__14:19:56.702826: Iter 63, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.836404800415039, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.976016469817818, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.08364048004150391}
2025_03_29__14:19:56.815651: Iter 64, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.503507137298584, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.133778157174962, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4949436318421077, 'throttle': 0.0, 'brake': 0.0503507137298584}
